0,1,2,key
42329,214242,417070,20000000000_3_3_AC1
57956,293337,571047,20000000000_3_3_CV1
45767,231647,450953,20000000000_3_3_GYR
104972,528151,1027432,20000000000_3_3_CTR
105065,531779,1035230,20000000000_3_3_CTB
58600,296600,577400,20000000000_3_3_VRY
105203,599975,1282017,20000000000_3_5_SMG
44762,255279,545475,20000000000_3_5_AC1
61850,352734,753716,20000000000_3_5_CV1
48049,274025,585531,20000000000_3_5_GYR
110650,631041,1348399,20000000000_3_5_CTR
111980,638625,1364604,20000000000_3_5_CTB
62300,355300,759200,20000000000_3_5_VRY
198766,650199,1210953,20000000000_4_1_SMG
84655,276923,515750,20000000000_4_1_AC1
116918,382461,712309,20000000000_4_1_CV1
91407,299007,556880,20000000000_4_1_GYR
209392,684959,1275691,20000000000_4_1_CTR
211674,692425,1289596,20000000000_4_1_CTB
118000,386000,718900,20000000000_4_1_VRY
35092,435428,883870,20000000000_4_2_SMG
15365,190650,386999,20000000000_4_2_AC1
21053,261228,530263,20000000000_4_2_CV1
16614,206149,418460,20000000000_4_2_GYR
37863,469820,953682,20000000000_4_2_CTR
38139,473238,960620,20000000000_4_2_CTB
21300,264301,536500,20000000000_4_2_VRY
28710,454401,887847,20000000000_4_3_SMG
12564,198850,388530,20000000000_4_3_AC1
17277,273447,534283,20000000000_4_3_CV1
13585,215003,420091,20000000000_4_3_GYR
31619,489687,956100,20000000000_4_3_CTR
31248,494571,966335,20000000000_4_3_CTB
17400,275401,538100,20000000000_4_3_VRY
77202,478914,940140,20000000000_4_4_SMG
33681,208938,410159,20000000000_4_4_AC1
46296,287188,563769,20000000000_4_4_CV1
36479,226289,444220,20000000000_4_4_GYR
83800,516066,1012371,20000000000_4_4_CTR
83681,519109,1019045,20000000000_4_4_CTB
46700,289700,568700,20000000000_4_4_VRY
177041,653752,1179988,20000000000_4_5_SMG
75588,279120,503797,20000000000_4_5_AC1
104085,384350,693731,20000000000_4_5_CV1
81588,301277,543789,20000000000_4_5_GYR
186407,688340,1242417,20000000000_4_5_CTR
188446,695866,1256002,20000000000_4_5_CTB
105100,388100,700501,20000000000_4_5_VRY
82035,474874,927465,20000000000_5_1_SMG
35791,207185,404648,20000000000_5_1_AC1
49171,284633,555910,20000000000_5_1_CV1
38788,224529,438522,20000000000_5_1_GYR
88393,511684,999357,20000000000_5_1_CTR
89037,515409,1006632,20000000000_5_1_CTB
49700,287700,561900,20000000000_5_1_VRY
57813,459945,891865,20000000000_5_2_SMG
24851,199885,387884,20000000000_5_2_AC1
34140,274601,532875,20000000000_5_2_CV1
27373,217772,422274,20000000000_5_2_GYR
62256,495291,960403,20000000000_5_2_CTR
62793,499558,968677,20000000000_5_2_CTB
34500,277500,538500,20000000000_5_2_VRY
40111,416457,897619,20000000000_5_4_SMG
17412,180782,389651,20000000000_5_4_AC1
24027,249464,537688,20000000000_5_4_CV1
18927,196505,423541,20000000000_5_4_GYR
43901,448545,965886,20000000000_5_4_CTR
43392,450521,971038,20000000000_5_4_CTB
24300,252300,543801,20000000000_5_4_VRY
92027,474925,921421,20000000000_5_5_SMG
40071,206795,401211,20000000000_5_5_AC1
55347,285626,554154,20000000000_5_5_CV1
43939,225335,436860,20000000000_5_5_GYR
100055,513121,994795,20000000000_5_5_CTR
