id,indices,key,state
SMG_00000000000_@3@3@water,89387#716056#1351906#1891346#2692472,SMG,water
WTF_00000000000_@3@3@water,1948#15599#29450#41202#58653,WTF,water
AC1_00000000000_@3@4@air,87181#276047#532489,AC1,air
GYR_00000000000_@3@4@air,94849#300328#579326,GYR,air
CTB_00000000000_@3@4@air,217761#689515#1330060,CTB,air
CTR_00000000000_@3@4@air,215703#683000#1317492,CTR,air
CV1_00000000000_@3@4@air,120231#380698#734359,CV1,air
VRY_00000000000_@3@4@air,121400#384400#741500,VRY,air
SMG_00000000000_@3@4@air,204048#646094#1246302,SMG,air
AC1_00000000000_@3@4@water,47798#285123#649412#925803#1190474,AC1,water
GYR_00000000000_@3@4@water,51757#310428#707483#1008735#1297212,GYR,water
CTB_00000000000_@3@4@water,118305#709577#1617168#2305768#2965170,CTB,water
CTR_00000000000_@3@4@water,116824#704554#1606708#2291184#2946636,CTR,water
CV1_00000000000_@3@4@water,65699#394053#898069#1280473#1646662,CV1,water
VRY_00000000000_@3@4@water,66164#396842#904425#1289534#1658315,VRY,water
PRS_00000000000_@3@4@water,2447#14597#33247#47397#60947,PRS,water
SMG_00000000000_@3@4@water,111404#668184#1522831#2171262#2792198,SMG,water
WTF_00000000000_@3@4@water,2432#14583#33235#47386#60938,WTF,water
AC1_00000000000_@3@5@air,67172#292276#512273,AC1,air
GYR_00000000000_@3@5@air,72842#316946#555513,GYR,air
CTB_00000000000_@3@5@air,167616#729327#1278295,CTB,air
CTR_00000000000_@3@5@air,166111#722778#1266818,CTR,air
CV1_00000000000_@3@5@air,92546#402683#705785,CV1,air
VRY_00000000000_@3@5@air,93400#406400#712301,VRY,air
SMG_00000000000_@3@5@air,156989#683087#1197251,SMG,air
AC1_00000000000_@3@5@water,62214#320376#712508#989250#1267947,AC1,water
GYR_00000000000_@3@5@water,67710#348680#775456#1076648#1379968,GYR,water
CTB_00000000000_@3@5@water,154937#797868#1774440#2463643#3157715,CTB,water
CTR_00000000000_@3@5@water,154007#793078#1763789#2448854#3138760,CTR,water
CV1_00000000000_@3@5@water,85950#442609#984353#1366681#1751711,CV1,water
VRY_00000000000_@3@5@water,86634#446132#992187#1377558#1765652,VRY,water
PRS_00000000000_@3@5@water,3181#16381#36431#50581#64831,PRS,water
SMG_00000000000_@3@5@water,145898#751318#1670916#2319908#2973488,SMG,water
WTF_00000000000_@3@5@water,3181#16381#36431#50581#64831,WTF,water
AC1_00000000001_@1@1@air,28424#211518#399558,AC1,air
GYR_00000000001_@1@1@air,30058#223675#422522,GYR,air
CTB_00000000001_@1@1@air,69048#513822#970612,CTB,air
CTR_00000000001_@1@1@air,68446#509342#962149,CTR,air
CV1_00000000001_@1@1@air,38217#284394#537221,CV1,air
VRY_00000000001_@1@1@air,38500#286500#541200,VRY,air
SMG_00000000001_@1@1@air,64850#482585#911606,SMG,air
AC1_00000000001_@1@1@water,37642#304209#563735#791072#1050598,AC1,water
GYR_00000000001_@1@1@water,39839#321967#596643#837250#1111926,GYR,water
CTB_00000000001_@1@1@water,91383#738529#1368582#1920488#2550541,CTB,water
CTR_00000000001_@1@1@water,90625#732403#1357229#1904558#2529384,CTR,water
CV1_00000000001_@1@1@water,50468#407866#755823#1060623#1408580,CV1,water
VRY_00000000001_@1@1@water,51039#412486#764384#1072636#1424535,VRY,water
PRS_00000000001_@1@1@water,1871#15121#28021#39321#52221,PRS,water
SMG_00000000001_@1@1@water,85883#694082#1286216#1804907#2397041,SMG,water
WTF_00000000001_@1@1@water,1871#15121#28021#39321#52221,WTF,water
AC1_00000000001_@1@2@air,40787#242137#427261,AC1,air
GYR_00000000001_@1@2@air,43052#255583#450988,GYR,air
CTB_00000000001_@1@2@air,98877#587000#1035787,CTB,air
CTR_00000000001_@1@2@air,98020#581913#1026811,CTR,air
CV1_00000000001_@1@2@air,54604#324164#572002,CV1,air
VRY_00000000001_@1@2@air,55300#328300#579300,VRY,air
SMG_00000000001_@1@2@air,92870#551339#972863,SMG,air
AC1_00000000001_@1@2@water,17802#275564#513189#754840#1001527,AC1,water
GYR_00000000001_@1@2@water,18816#291250#542400#797808#1058536,GYR,water
CTB_00000000001_@1@2@water,43206#668810#1245539#1832043#2430765,CTB,water
CTR_00000000001_@1@2@water,42831#663004#1234726#1816137#2409662,CTR,water
CV1_00000000001_@1@2@water,23865#369411#687961#1011911#1342609,CV1,water
VRY_00000000001_@1@2@water,24129#373493#695564#1023094#1357447,VRY,water
PRS_00000000001_@1@2@water,884#13684#25484#37484#49734,PRS,water
SMG_00000000001_@1@2@water,40599#628456#1170387#1721503#2284101,SMG,water
WTF_00000000001_@1@2@water,884#13684#25484#37484#49734,WTF,water
AC1_00000000001_@1@3@air,26566#235984#415135,AC1,air
GYR_00000000001_@1@3@air,28105#249654#439185,GYR,air
CTB_00000000001_@1@3@air,64394#572004#1006254,CTB,air
CTR_00000000001_@1@3@air,63920#567794#998847,CTR,air
CV1_00000000001_@1@3@air,35505#315385#554815,CV1,air
VRY_00000000001_@1@3@air,35900#318900#561000,VRY,air
SMG_00000000001_@1@3@air,60510#537508#945568,SMG,air
AC1_00000000001_@1@3@water,11056#275862#506433#741032#1012885,AC1,water
GYR_00000000001_@1@3@water,12011#292049#535884#783978#1071469,GYR,water
